pipeID,Shape_length
KQD0970002,49.5877276
KQD0970003,50.44144135
KQD0970004,15.27708133
KQD0970005,25.8980262
KQD0970006,33.88800071
KQD0970007,20.09291139
KQD0970008,26.84794365
KQD0970009,50.30492811
KQD0970010,26.10894179
KQD0970011,21.9447743
KQD0970012,21.88164661
KQD0970013,38.55389071
KQD0970014,49.6248754
KQD0980001,43.90989196
KQD0980002,9.861206393
KQD0980003,7.319336514
KQD0980004,23.6595799
KQD0980005,26.93481095
KQD0980006,15.3824696
KQD0980007,16.92132556
KQD0980008,48.49588459
KQD0980009,49.72719779
KQD0980010,33.34545274
KQD0980011,33.64229909
KQD0980012,40.28845544
KQD0980013,41.67466322
KQD0981001,13.90868159
KQD0981002,65.84405734
KQD0981003,29.86305344
KQD0981004,3.403376823
KQD0981005,5.804758963
KQD0981006,9.085133378
KQD0981007,34.03477526
KQD0981008,56.29500623
KQD0981009,21.89603847
KQD0981010,16.51641794
KQD0981011,33.7891135
KQD0981012,29.91644428
KQD0987001,30.31614109
KQD0987002,42.03381326
KQD0987302,31.16344361
KQD0987303,45.22782659
KQD0987301,37.98964829
KQD0988001,10.9882279
KQD0988002,36.06855726
KQD0988003,34.36906011
KQD0988004,38.1647562
KQD0988005,44.79762847
KQD0988006,9.920641797
KQD0988007,11.96224299
KQD0988008,44.82705202
KQD0988009,46.74179513
KQD0988010,15.01535167
KQD0988011,14.92497724
KQD0988012,25.91810605
KQD0988301,10.86977731
KQD0988302,36.04152243
KQD0988303,37.05507075
KQD0988304,45.28641131
KQD0988305,39.00136386
KQD0988306,16.01655395
KQD0988307,13.01089424
KQD0988308,44.08946293
KQD0988309,45.81703949
KQD0988310,14.95145988
KQD0988311,15.97359868
KQD0988312,34.9903952
KQD0990001,18.10602921
KQD0990002,56.76125051
KQD0990003,28.83249152
KQD0990004,43.82912937
KQD0990005,21.9053437
KQD0990006,3.834173972
KQD0990007,6.524657632
KQD0990008,20.3821982
KQD0990009,12.95777866
KQD0990010,5.650542562
KQD0990011,2.212211955
KQD0990012,7.523924393
KQD0990013,21.05262315
KQD0990014,31.33958979
KQD0990015,42.0623474
KQD0990016,81.32798343
KQD0991001,74.69503632
KQD0991002,74.07351585
KQD0991003,72.40875593
KQD0991004,35.68181064
KQD0991005,61.65404057
KQD0991006,81.32549699
KQD0991007,15.99036126
KQD0991008,77.92482886
KQD0991009,14.19713065
