upMH,SUM_Area
JQD1877071,265.9890767
JQD1877072,295.016365
JQD1877073,411.753859
JQD1877074,300.9183634
JQD1877075,385.4939972
JQD1877076,407.8205521
JQD1877077,432.7206281
JQD1877078,443.1821082
JQD1877079,222.9377069
JQD1877080,365.0712534
JQD1877081,456.092185
JQD1877082,343.7552846
JQD1877083,365.1247364
JQD1877084,143.3955966
JQD1877085,220.8693221
JQD1877086,201.616195
JQD1877087,237.0768754
JQD1877088,199.6073381
JQD1877089,249.4748356
JQD1877090,257.7304132
JQD1877091,385.5921119
JQD1877092,272.3646741
JQD1877093,472.1647854
JQD1877094,385.9755012
JQD1877095,300.9871713
JQD1877096,277.9111059
JQD1877097,339.5760163
JQD1877098,361.2188317
JQD1877099,309.7287003
JQD1877100,412.849938
JQD1877101,267.4986538
JQD1877102,228.1279058
JQD1877103,501.7692326
JQD1877104,324.1297264
JQD1877105,475.1015902
JQD1877106,290.3371944
JQD1877107,400.6853149
JQD1878001,254.6544133
JQD1878002,111.1701057
JQD1878003,204.6474992
JQD1878004,246.4045872
JQD1878005,325.7683437
JQD1878006,250.4233008
JQD1878007,402.2825473
JQD1878008,357.637204
JQD1878009,277.9156114
JQD1878010,99.87086416
JQD1878011,245.2138077
JQD1878012,214.7557098
JQD1878013,175.8754347
JQD1878014,205.8498907
JQD1878015,221.9530536
JQD1878016,255.7520611
JQD1878017,97.50157146
JQD1878018,198.2127988
JQD1878019,
JQD1878020,281.3493213
JQD1878021,104.0392507
JQD1878022,247.0400726
JQD1878023,187.4436353
JQD1878024,310.4576846
JQD1878025,430.3458298
JQD1878026,97.69557748
JQD1878027,297.9211426
JQD1878028,398.4464722
JQD1878029,108.0066807
JQD1878030,480.3450433
JQD1878031,338.6835931
JQD1878032,159.9154432
JQD1878033,111.8620733
JQD1878034,139.690364
JQD1878035,108.8905955
JQD1878036,237.677187
JQD1878037,317.2248032
JQD1878038,414.8873956
JQD1878039,349.2499441
JQD1878040,348.0903014
JQD1878041,492.0891275
JQD1878042,503.3327034
JQD1878043,99.16038236
JQD1878044,84.2360315
JQD1878045,
JQD1878046,
JQD1878047,
JQD1878048,108.5063327
JQD1878049,
JQD1878050,
JQD1878051,
JQD1878052,42.14389722
JQD1878053,1140.50076
JQD1878054,524.5463649
JQD1878056,176.5303194
JQD1878058,92.70990762
JQD1878059,424.2409913
